id,account_id,stage,amount,currency,close_date
OP-000081,CRM-000070,Lost,1162916,CLP,2025-09-23
OP-000082,CRM-000073,Lost,869220,MXN,2024-08-14
OP-000083,CRM-000073,Proposal,3897725,MXN,2025-02-26
OP-000084,CRM-000076,Won,3927205,USD,2025-04-01
OP-000085,CRM-000079,Lost,2095876,MXN,2025-05-09
OP-000086,CRM-000079,Prospecting,1457671,USD,2024-01-25
OP-000087,CRM-000080,Won,2756440,MXN,2025-08-24
OP-000088,CRM-000080,Lost,4050371,JPY,2025-10-29
OP-000089,CRM-000081,Lost,904790,MXN,2024-01-29
OP-000090,CRM-000081,Prospecting,4805332,MXN,2024-07-17
OP-000091,CRM-000083,Prospecting,2895657,USD,2024-10-05
OP-000092,CRM-000085,Won,2609384,MXN,2025-02-27
OP-000093,CRM-000085,Lost,2951460,USD,2024-11-12
OP-000094,CRM-000089,Prospecting,1563915,MXN,2024-03-15
OP-000095,CRM-000090,Prospecting,3523257,CLP,2025-05-31
OP-000096,CRM-000091,Prospecting,3698611,USD,2024-03-21
OP-000097,CRM-000092,Lost,2247449,USD,2025-01-28
OP-000098,CRM-000092,Prospecting,2307807,MXN,2025-05-15
OP-000099,CRM-000096,Prospecting,4377595,MXN,2024-06-03
OP-000100,CRM-000096,Won,4905522,CLP,2024-12-02
OP-000101,CRM-000098,Proposal,4488929,USD,2025-02-01
OP-000102,CRM-000099,Proposal,3462910,MXN,2025-10-15
OP-000103,CRM-000100,Proposal,2117199,JPY,2024-11-25
OP-000104,CRM-000104,Prospecting,1028365,MXN,2024-12-20
OP-000105,CRM-000105,Lost,2174853,MXN,2024-10-18
OP-000106,CRM-000106,Lost,1942218,MXN,2024-02-10
OP-000107,CRM-000106,Proposal,4003838,MXN,2025-02-05
OP-000108,CRM-000108,Proposal,1812160,MXN,2025-06-09
OP-000109,CRM-000109,Proposal,1577405,MXN,2025-04-04
OP-000110,CRM-000110,Prospecting,2627050,MXN,2024-03-09
OP-000111,CRM-000111,Proposal,3481980,USD,2024-07-23
OP-000112,CRM-000111,Won,4678853,USD,2024-11-19
OP-000113,CRM-000113,Prospecting,2197390,MXN,2024-05-10
OP-000114,CRM-000113,Prospecting,4814547,USD,2024-11-24
OP-000115,CRM-000115,Won,3960564,MXN,2024-11-19
OP-000116,CRM-000116,Lost,1469612,MXN,2024-03-22
OP-000117,CRM-000116,Proposal,1454475,USD,2024-09-22
OP-000118,CRM-000119,Won,3073488,JPY,2025-01-06
OP-000119,CRM-000119,Lost,1426270,MXN,2024-01-24
OP-000120,CRM-000120,Proposal,1284777,MXN,2025-03-14
OP-000121,CRM-000122,Lost,3563708,USD,2025-02-23
OP-000122,CRM-000124,Prospecting,1110199,CLP,2024-05-26
OP-000123,CRM-000124,Proposal,4234685,MXN,2024-01-15
OP-000124,CRM-000127,Lost,3742923,JPY,2024-06-03
OP-000125,CRM-000128,Proposal,2855231,MXN,2025-08-07
OP-000126,CRM-000129,Prospecting,1926557,MXN,2025-01-28
OP-000127,CRM-000129,Proposal,1980830,JPY,2024-04-08
OP-000128,CRM-000130,Proposal,4194949,MXN,2024-05-15
OP-000129,CRM-000132,Won,3313943,MXN,2024-06-24
OP-000130,CRM-000132,Prospecting,1894272,USD,2024-09-19
OP-000131,CRM-000133,Won,1084262,MXN,2025-03-18
OP-000132,CRM-000133,Won,724978,MXN,2025-10-15
OP-000133,CRM-000134,Proposal,4809365,MXN,2024-05-10
OP-000134,CRM-000135,Proposal,3426856,MXN,2025-02-07
OP-000135,CRM-000135,Prospecting,479207,CLP,2025-03-15
OP-000136,CRM-000138,Proposal,769252,CLP,2024-09-11
OP-000137,CRM-000139,Lost,16563,MXN,2024-09-29
OP-000138,CRM-000139,Prospecting,1220381,MXN,2025-08-04
OP-000139,CRM-000141,Won,2460972,USD,2024-10-18
OP-000140,CRM-000141,Prospecting,2496408,MXN,2025-11-05
OP-000141,CRM-000142,Lost,3313026,MXN,2025-06-30
OP-000142,CRM-000142,Lost,4628916,MXN,2024-04-18
OP-000143,CRM-000144,Proposal,2583688,JPY,2024-08-10
OP-000144,CRM-000144,Lost,2341153,MXN,2024-05-04
OP-000145,CRM-000145,Proposal,2444820,USD,2024-09-18
OP-000146,CRM-000145,Prospecting,1464014,MXN,2025-10-29
OP-000147,CRM-000147,Lost,4130110,MXN,2025-07-27
OP-000148,CRM-000147,Proposal,3940893,JPY,2024-05-14
OP-000149,CRM-000148,Won,203501,MXN,2024-02-26
OP-000150,CRM-000148,Proposal,2027383,JPY,2025-04-10
OP-000151,CRM-000150,Lost,2799792,MXN,2024-10-23
OP-000152,CRM-000150,Lost,3539453,MXN,2025-11-04
OP-000153,CRM-000151,Lost,2557638,MXN,2024-06-30
OP-000154,CRM-000151,Prospecting,759250,MXN,2025-01-04
OP-000155,CRM-000152,Proposal,4710496,USD,2024-11-17
OP-000156,CRM-000153,Prospecting,3126139,MXN,2024-11-07
OP-000157,CRM-000153,Lost,3592485,MXN,2025-02-06
OP-000158,CRM-000154,Prospecting,2145991,CLP,2024-12-01
OP-000159,CRM-000154,Won,4036630,USD,2025-05-29
OP-000160,CRM-000155,Proposal,1929597,CLP,2025-03-13
OP-000161,CRM-000156,Proposal,592151,USD,2025-07-21
OP-000162,CRM-000156,Proposal,4880499,MXN,2025-07-30
OP-000163,CRM-000158,Lost,4144453,MXN,2024-05-22
OP-000164,CRM-000159,Proposal,3850822,MXN,2025-09-28
OP-000165,CRM-000160,Prospecting,3579285,MXN,2025-01-18
OP-000166,CRM-000162,Prospecting,2932459,MXN,2025-06-07
OP-000167,CRM-000162,Lost,629660,USD,2024-10-28
OP-000168,CRM-000163,Prospecting,327023,MXN,2024-11-26
OP-000169,CRM-000163,Prospecting,3308500,MXN,2024-06-18
OP-000170,CRM-000164,Won,1001940,MXN,2024-12-03
OP-000171,CRM-000167,Lost,4945429,CLP,2024-12-03
OP-000172,CRM-000167,Prospecting,1318575,USD,2025-10-06
OP-000173,CRM-000168,Proposal,4616543,MXN,2024-04-10
OP-000174,CRM-000168,Prospecting,4546633,MXN,2024-04-29
OP-000175,CRM-000169,Proposal,3251657,MXN,2025-10-31
OP-000176,CRM-000171,Proposal,4486559,MXN,2024-08-07
OP-000177,CRM-000171,Lost,4781283,MXN,2024-06-08
OP-000178,CRM-000172,Proposal,1734026,MXN,2024-04-11
OP-000179,CRM-000172,Proposal,3461334,USD,2025-01-13
OP-000180,CRM-000173,Proposal,4119818,MXN,2025-05-19
OP-000181,CRM-000174,Prospecting,2002493,MXN,2025-04-11
OP-000182,CRM-000175,Lost,1322053,MXN,2024-12-28
OP-000183,CRM-000176,Lost,2654396,MXN,2025-01-28
OP-000184,CRM-000176,Won,820822,MXN,2024-11-27
OP-000185,CRM-000178,Proposal,31196,CLP,2024-07-03
OP-000186,CRM-000179,Prospecting,3458576,MXN,2025-08-11
OP-000187,CRM-000183,Proposal,1497395,MXN,2024-10-11
OP-000188,CRM-000186,Proposal,301492,MXN,2025-01-17
OP-000189,CRM-000191,Prospecting,3243330,MXN,2025-10-16
OP-000190,CRM-000192,Won,3578863,MXN,2024-07-19
OP-000191,CRM-000192,Prospecting,4252396,MXN,2024-04-03
OP-000192,CRM-000195,Lost,1939786,MXN,2025-04-26
OP-000193,CRM-000197,Proposal,2023447,CLP,2025-06-16
OP-000194,CRM-000198,Prospecting,3988045,MXN,2024-06-03
OP-000195,CRM-000198,Prospecting,3286046,CLP,2025-01-15
OP-000196,CRM-000199,Prospecting,1783014,USD,2025-10-02
OP-000197,CRM-000200,Lost,2002594,MXN,2025-06-20
OP-000198,CRM-000200,Lost,4505437,USD,2024-07-09
OP-000199,CRM-000201,Lost,3662404,MXN,2025-04-29
OP-000200,CRM-000201,Lost,999887,MXN,2024-02-05
OP-000201,CRM-000202,Won,405768,USD,2025-06-25
OP-000202,CRM-000203,Proposal,2328267,MXN,2024-09-05
OP-000203,CRM-000204,Lost,1384761,MXN,2024-12-20
OP-000204,CRM-000206,Won,2401369,MXN,2025-02-14
OP-000205,CRM-000206,Proposal,2855448,MXN,2025-10-16
OP-000206,CRM-000207,Won,4136899,MXN,2025-07-25
OP-000207,CRM-000208,Won,1285139,USD,2025-02-16
OP-000208,CRM-000209,Proposal,4696984,USD,2025-10-10
OP-000209,CRM-000209,Proposal,121674,MXN,2024-03-07
OP-000210,CRM-000211,Won,4211390,MXN,2024-10-28
OP-000211,CRM-000211,Won,1253277,MXN,2025-02-09
OP-000212,CRM-000213,Prospecting,208273,MXN,2024-08-01
OP-000213,CRM-000213,Lost,334932,USD,2024-07-08
OP-000214,CRM-000214,Prospecting,4485812,MXN,2024-05-06
OP-000215,CRM-000215,Proposal,4416429,USD,2024-04-22
OP-000216,CRM-000216,Prospecting,1817009,USD,2025-07-12
OP-000217,CRM-000218,Prospecting,3456079,USD,2025-04-16
OP-000218,CRM-000218,Proposal,684797,MXN,2025-11-17
OP-000219,CRM-000219,Prospecting,1986845,JPY,2024-10-01
OP-000220,CRM-000219,Lost,1327335,MXN,2025-06-20
OP-000221,CRM-000220,Won,2912031,MXN,2024-11-22
OP-000222,CRM-000220,Won,3428650,MXN,2024-02-12
OP-000223,CRM-000221,Won,4896834,MXN,2024-04-06
OP-000224,CRM-000223,Prospecting,3191642,MXN,2024-09-17
OP-000225,CRM-000224,Prospecting,1176479,JPY,2024-06-09
OP-000226,CRM-000224,Proposal,3450767,MXN,2024-02-23
OP-000227,CRM-000225,Proposal,4394850,MXN,2024-07-11
OP-000228,CRM-000226,Won,4500947,MXN,2025-01-02
OP-000229,CRM-000226,Won,483288,MXN,2025-09-29
OP-000230,CRM-000228,Lost,4620035,USD,2024-12-11
OP-000231,CRM-000229,Proposal,4907812,MXN,2024-01-21
OP-000232,CRM-000230,Won,1840271,MXN,2025-01-07
OP-000233,CRM-000230,Lost,1580570,MXN,2025-02-18
OP-000234,CRM-000232,Won,4948708,USD,2024-12-31
OP-000235,CRM-000232,Won,412829,JPY,2024-08-28
OP-000236,CRM-000233,Lost,4063403,MXN,2025-01-31
OP-000237,CRM-000234,Lost,4550274,MXN,2024-03-03
OP-000238,CRM-000236,Lost,2937679,USD,2025-11-30
OP-000239,CRM-000237,Prospecting,1106104,MXN,2025-05-22
OP-000240,CRM-000237,Prospecting,3185373,USD,2024-04-19
OP-000241,CRM-000239,Won,4758619,MXN,2025-06-08
OP-000242,CRM-000242,Lost,3074852,MXN,2024-11-13
OP-000243,CRM-000246,Lost,3481067,MXN,2024-06-04
OP-000244,CRM-000246,Proposal,2313336,MXN,2025-01-11
OP-000245,CRM-000247,Lost,3429738,USD,2024-12-15
OP-000246,CRM-000247,Won,1666584,MXN,2025-10-22
OP-000247,CRM-000248,Won,3282940,MXN,2024-07-25
OP-000248,CRM-000248,Prospecting,1370258,MXN,2024-01-25
OP-000249,CRM-000249,Prospecting,1499590,CLP,2024-12-27
OP-000250,CRM-000250,Won,3551891,MXN,2025-10-04
OP-000251,CRM-000251,Proposal,3211626,MXN,2024-10-10
OP-000252,CRM-000252,Proposal,2657879,JPY,2025-07-09
OP-000253,CRM-000252,Lost,496540,MXN,2025-07-19
OP-000254,CRM-000253,Proposal,1361522,USD,2024-03-10
OP-000255,CRM-000254,Prospecting,3900902,MXN,2024-02-13
OP-000256,CRM-000254,Prospecting,940968,MXN,2024-07-21
OP-000257,CRM-000255,Prospecting,2675782,MXN,2025-02-13
OP-000258,CRM-000256,Won,3345631,MXN,2025-04-26
OP-000259,CRM-000256,Proposal,1915033,MXN,2025-01-22
OP-000260,CRM-000257,Prospecting,4976979,MXN,2025-11-13
OP-000261,CRM-000257,Lost,4622214,MXN,2024-07-06
OP-000262,CRM-000258,Won,4068606,MXN,2024-01-03
OP-000263,CRM-000258,Proposal,756818,JPY,2024-02-24
OP-000264,CRM-000259,Prospecting,3512596,USD,2025-04-26
OP-000265,CRM-000261,Lost,46994,JPY,2025-10-06
OP-000266,CRM-000262,Lost,4601300,MXN,2024-08-18
OP-000267,CRM-000264,Won,2954038,MXN,2024-04-30
OP-000268,CRM-000265,Won,3636944,MXN,2024-08-16
OP-000269,CRM-000266,Prospecting,3361376,MXN,2025-01-17
OP-000270,CRM-000268,Lost,531431,USD,2025-04-20
OP-000271,CRM-000268,Won,1433085,MXN,2024-09-09
OP-000272,CRM-000269,Lost,4614330,USD,2025-10-04
OP-000273,CRM-000270,Proposal,1527281,MXN,2025-02-21
OP-000274,CRM-000270,Lost,3027264,MXN,2025-05-24
OP-000275,CRM-000271,Proposal,1551675,JPY,2024-03-21
OP-000276,CRM-000271,Lost,1042083,MXN,2024-05-02
OP-000277,CRM-000272,Won,2509971,MXN,2025-11-23
OP-000278,CRM-000273,Lost,2886370,USD,2025-11-09
OP-000279,CRM-000274,Proposal,1130129,USD,2024-02-05
OP-000280,CRM-000274,Lost,2280220,MXN,2024-02-03
OP-000281,CRM-000275,Prospecting,2534889,CLP,2025-07-19
OP-000282,CRM-000275,Proposal,704436,MXN,2025-09-10
