MANDT,MATNR,MTART,MATKL,MEINS,LVORM,ERSDA
100,000000000000010037,HALB,ELECTRO,KG,,20240905
100,000000000000010038,ROH,ELECTRO,L,,20250317
100,000000000000010039,ROH,LIMPIEZA,PAL,,20240816
100,000000000000010040,HAWA,LIMPIEZA,L,,20240719
100,000000000000010041,ROH,ABARROTE,KG,,20240808
100,000000000000010042,HAWA,BEBIDAS,L,,20250201
100,000000000000010043,HALB,ELECTRO,EA,,20230510
100,000000000000010044,FERT,ELECTRO,EA,,20240622
100,000000000000010045,HAWA,ABARROTE,EA,,20240425
100,000000000000010046,HAWA,BEBIDAS,L,,20250522
100,000000000000010047,HAWA,PAPELERIA,EA,,20240924
100,000000000000010048,ROH,ABARROTE,EA,,20240320
100,000000000000010049,ROH,BEBIDAS,EA,,20231129
100,000000000000010050,HAWA,ABARROTE,KG,,20240627
100,000000000000010051,HALB,ABARROTE,KG,,20230322
100,000000000000010052,HALB,ELECTRO,PAL,,20230527
100,000000000000010053,HAWA,LIMPIEZA,EA,,20250403
100,000000000000010054,HALB,BEBIDAS,CS,,20231220
100,000000000000010055,HAWA,LIMPIEZA,CS,,20250515
100,000000000000010056,HAWA,BEBIDAS,KG,,20240126
100,000000000000010057,ROH,BEBIDAS,CS,,20231009
100,000000000000010058,FERT,PAPELERIA,CS,,20250502
100,000000000000010059,ROH,ABARROTE,KG,,20240927
100,000000000000010060,FERT,LIMPIEZA,CS,,20230204
100,000000000000010061,FERT,LIMPIEZA,L,,20250204
100,000000000000010062,ROH,PAPELERIA,PAL,,20231007
100,000000000000010063,HAWA,LIMPIEZA,L,X,20250403
100,000000000000010064,HALB,ABARROTE,CS,,20250516
100,000000000000010065,HAWA,BEBIDAS,L,,20240703
100,000000000000010066,ROH,PAPELERIA,CS,,20250422
100,000000000000010067,HAWA,BEBIDAS,PAL,,20240728
100,000000000000010068,FERT,ELECTRO,L,,20241026
100,000000000000010069,FERT,LIMPIEZA,CS,,20230429
100,000000000000010070,HALB,ELECTRO,CS,,20240115
100,000000000000010071,HALB,ELECTRO,EA,,20250503
100,000000000000010072,ROH,BEBIDAS,L,X,20230811
100,000000000000010073,ROH,BEBIDAS,L,,20240711
100,000000000000010074,HALB,BEBIDAS,CS,,20230404
100,000000000000010075,FERT,LIMPIEZA,KG,,20230509
100,000000000000010076,HALB,PAPELERIA,KG,,20250412
100,000000000000010077,FERT,LIMPIEZA,KG,,20230514
100,000000000000010078,FERT,BEBIDAS,KG,,20230116
100,000000000000010079,FERT,ABARROTE,L,,20230223
100,000000000000010080,FERT,ELECTRO,CS,,20250307
100,000000000000010081,HAWA,PAPELERIA,KG,,20240921
100,000000000000010082,FERT,BEBIDAS,CS,,20250517
100,000000000000010083,HAWA,ELECTRO,EA,,20230324
100,000000000000010084,HALB,LIMPIEZA,PAL,,20241010
100,000000000000010085,HAWA,PAPELERIA,PAL,,20231029
100,000000000000010086,FERT,BEBIDAS,PAL,,20250108
100,000000000000010087,HALB,ELECTRO,L,X,20250427
100,000000000000010088,FERT,LIMPIEZA,CS,,20231117
100,000000000000010089,HAWA,BEBIDAS,EA,,20250501
100,000000000000010090,ROH,ABARROTE,PAL,,20230303
100,000000000000010091,FERT,ELECTRO,L,,20250613
100,000000000000010092,ROH,LIMPIEZA,EA,,20240814
100,000000000000010093,HAWA,ABARROTE,EA,,20231225
100,000000000000010094,ROH,PAPELERIA,KG,,20250406
100,000000000000010095,FERT,PAPELERIA,L,,20230130
100,000000000000010096,ROH,LIMPIEZA,L,,20230107
100,000000000000010097,HAWA,BEBIDAS,KG,,20250128
100,000000000000010098,HALB,ELECTRO,CS,X,20240409
100,000000000000010099,ROH,PAPELERIA,PAL,,20230328
100,000000000000010100,FERT,BEBIDAS,L,,20240329
100,000000000000010101,HAWA,LIMPIEZA,KG,,20250212
100,000000000000010102,FERT,LIMPIEZA,PAL,,20240513
100,000000000000010103,HAWA,PAPELERIA,EA,,20230108
100,000000000000010104,HALB,LIMPIEZA,L,,20231202
100,000000000000010105,HAWA,ABARROTE,KG,,20240125
100,000000000000010106,ROH,BEBIDAS,CS,,20250601
100,000000000000010107,FERT,LIMPIEZA,PAL,,20240315
100,000000000000010108,HAWA,LIMPIEZA,EA,,20240219
100,000000000000010109,HAWA,LIMPIEZA,EA,,20240323
100,000000000000010110,HAWA,PAPELERIA,EA,,20240210
100,000000000000010111,HALB,BEBIDAS,PAL,,20241010
100,000000000000010112,ROH,LIMPIEZA,KG,,20230830
100,000000000000010113,HALB,PAPELERIA,KG,,20250217
100,000000000000010114,HAWA,ELECTRO,PAL,,20250217
100,000000000000010115,ROH,LIMPIEZA,KG,,20240326
100,000000000000010116,ROH,LIMPIEZA,PAL,X,20230227
100,000000000000010117,HAWA,ELECTRO,EA,,20230228
100,000000000000010118,FERT,PAPELERIA,PAL,,20240603
100,000000000000010119,FERT,ELECTRO,PAL,X,20241029
100,000000000000010120,HALB,BEBIDAS,CS,,20230416
100,000000000000010121,HALB,BEBIDAS,KG,,20241225
100,000000000000010122,HALB,LIMPIEZA,L,,20231017
100,000000000000010123,FERT,LIMPIEZA,EA,,20231204
100,000000000000010124,ROH,LIMPIEZA,PAL,,20250613
100,000000000000010125,HALB,LIMPIEZA,L,,20241102
100,000000000000010126,FERT,LIMPIEZA,PAL,,20240121
100,000000000000010127,FERT,ELECTRO,PAL,X,20240106
100,000000000000010128,HALB,LIMPIEZA,CS,,20230716
100,000000000000010129,ROH,BEBIDAS,PAL,,20250228
100,000000000000010130,ROH,PAPELERIA,KG,,20240903
100,000000000000010131,HALB,ELECTRO,EA,,20240225
100,000000000000010132,ROH,ELECTRO,KG,,20240630
100,000000000000010133,HAWA,ABARROTE,L,,20241125
100,000000000000010134,ROH,ELECTRO,PAL,,20240624
100,000000000000010135,HALB,LIMPIEZA,EA,,20241018
100,000000000000010136,FERT,PAPELERIA,EA,,20231019
100,000000000000010137,HALB,ELECTRO,EA,,20230816
100,000000000000010138,HAWA,BEBIDAS,CS,,20240529
100,000000000000010139,FERT,LIMPIEZA,KG,,20230129
100,000000000000010140,ROH,ABARROTE,KG,,20230209
100,000000000000010141,HALB,ELECTRO,CS,,20240922
100,000000000000010142,HALB,ABARROTE,PAL,,20250114
100,000000000000010143,ROH,ABARROTE,L,,20230505
100,000000000000010144,HAWA,BEBIDAS,EA,,20250506
100,000000000000010145,HALB,ABARROTE,L,,20240315
100,000000000000010146,HAWA,ABARROTE,EA,X,20240620
100,000000000000010147,FERT,ELECTRO,CS,,20230214
100,000000000000010148,FERT,LIMPIEZA,EA,,20231220
100,000000000000010149,ROH,ABARROTE,EA,,20231227
100,000000000000010150,HALB,ELECTRO,CS,,20241008
