MANDT,VBELN,POSNR,MATNR,KWMENG,NETWR,WAERK,MEINS
100,4500000028,000020,000000000000010128,1,54814,MXN,EA
100,4500000028,000030,000000000000010104,14,277004,MXN,EA
100,4500000028,000040,000000000000010143,18,19584,MXN,EA
100,4500000029,000010,000000000000010078,17,5029008,USD,EA
100,4500000030,000010,000000000000010117,11,2106456,MXN,EA
100,4500000030,000020,000000000000010014,8,3549320,MXN,EA
100,4500000031,000010,000000000000010085,18,7260246,MXN,EA
100,4500000031,000020,000000000000010122,12,4516128,MXN,EA
100,4500000031,000030,000000000000010116,4,208340,MXN,EA
100,4500000031,000040,000000000000010057,1,179969,MXN,EA
100,4500000032,000010,000000000000010075,18,4944060,USD,EA
100,4500000032,000020,000000000000010096,4,100000,USD,EA
100,4500000032,000030,000000000008880107,16,1194160,USD,EA
100,4500000033,000010,000000000000010105,4,537280,MXN,EA
100,4500000033,000020,000000000000010051,7,450135,MXN,EA
100,4500000033,000030,000000000000010101,7,1684361,MXN,EA
100,4500000033,000040,000000000000010049,11,632500,MXN,EA
100,4500000033,000050,000000000000010107,2,973638,MXN,EA
100,4500000033,000060,000000000000010032,15,3612030,MXN,EA
100,4500000034,000010,000000000000010130,5,1312645,EUR,EA
100,4500000034,000020,000000000000010002,17,6578796,EUR,EA
100,4500000034,000030,000000000000010013,18,8844660,EUR,EA
100,4500000034,000040,000000000000010111,19,4829705,EUR,EA
100,4500000034,000050,000000000000010131,6,2182266,EUR,EA
100,4500000034,000060,000000000000010149,6,2303934,EUR,EA
100,4500000035,000010,000000000000010027,13,4494490,MXN,EA
100,4500000035,000020,000000000000010083,17,7872734,MXN,EA
100,4500000036,000010,000000000000010108,20,9624000,MXN,EA
100,4500000036,000020,000000000000010064,9,1886382,MXN,EA
100,4500000036,000030,000000000000010088,10,2384210,MXN,EA
100,4500000036,000040,000000000000010035,5,1086985,MXN,EA
100,4500000037,000010,000000000000010132,10,4430130,MXN,EA
100,4500000037,000020,000000000000010141,11,4116497,MXN,EA
100,4500000037,000030,000000000000010142,7,744261,MXN,EA
100,4500000037,000040,000000000000010054,20,7510860,MXN,EA
100,4500000037,000050,000000000000010075,12,5807628,MXN,EA
100,4500000038,000010,000000000000010034,6,1591110,MXN,EA
100,4500000038,000020,000000000000010139,11,4107719,MXN,EA
100,4500000038,000030,000000000000010030,12,3549552,MXN,EA
100,4500000038,000040,000000000000010123,19,5703382,MXN,EA
100,4500000038,000050,000000000000010107,18,2716344,MXN,EA
100,4500000038,000060,000000000000010109,1,275061,MXN,EA
100,4500000039,000010,000000000000010007,13,1003509,CLP,EA
100,4500000040,000010,000000000000010015,7,986811,MXN,EA
100,4500000041,000010,000000000000010074,9,699930,MXN,EA
100,4500000041,000020,000000000000010016,10,1079550,MXN,EA
100,4500000042,000010,000000000000010009,12,5133408,MXN,EA
100,4500000042,000020,000000000000010116,4,1296072,MXN,EA
100,4500000042,000030,000000000000010144,8,3121904,MXN,EA
100,4500000042,000040,000000000000010144,13,1632384,MXN,EA
100,4500000042,000050,000000000000010131,10,3642980,MXN,EA
100,4500000043,000010,000000000000010013,13,2654470,MXN,EA
100,4500000043,000020,000000000000010107,11,3195192,MXN,EA
100,4500000043,000030,000000000000010014,1,390897,MXN,EA
100,4500000043,000040,000000000000010065,7,2284471,MXN,EA
100,4500000043,000050,000000000000010114,8,3831048,MXN,EA
100,4500000043,000060,000000000000010095,19,5464077,MXN,EA
100,4500000044,000010,000000000000010051,7,1086631,MXN,EA
100,4500000044,000020,000000000000010115,6,2153454,MXN,EA
100,4500000044,000030,000000000000010020,6,552708,MXN,EA
100,4500000044,000040,000000000000010132,4,795040,MXN,EA
100,4500000044,000050,000000000000010011,14,2062690,MXN,EA
100,4500000044,000060,000000000000010143,9,622728,MXN,EA
100,4500000045,000010,000000000000010150,9,35631,MXN,EA
100,4500000045,000020,000000000000010085,15,5596215,MXN,EA
100,4500000046,000010,000000000000010011,5,2439340,EUR,EA
100,4500000046,000020,000000000008880161,20,553240,EUR,EA
100,4500000047,000010,000000000000010078,16,6642224,MXN,EA
100,4500000047,000020,000000000000010147,18,3397302,MXN,EA
100,4500000047,000030,000000000000010019,11,3041038,MXN,EA
100,4500000047,000040,000000000000010057,6,1643682,MXN,EA
100,4500000047,000050,000000000000010018,17,1437452,MXN,EA
100,4500000047,000060,000000000000010107,18,5086098,MXN,EA
100,4500000048,000010,000000000000010024,12,1403652,USD,EA
100,4500000048,000020,000000000000010055,11,1920314,USD,EA
100,4500000048,000030,000000000000010093,10,1155280,USD,EA
100,4500000048,000040,000000000000010136,16,4724816,USD,EA
100,4500000049,000010,000000000000010003,4,1406864,MXN,EA
100,4500000049,000020,000000000000010089,15,1905165,MXN,EA
100,4500000049,000030,000000000000010063,2,717706,MXN,EA
100,4500000049,000040,000000000000010083,13,6255756,MXN,EA
100,4500000049,000050,000000000000010030,13,1761851,MXN,EA
100,4500000049,000060,000000000000010139,10,139520,MXN,EA
100,4500000050,000010,000000000000010096,17,7172419,JPY,EA
100,4500000050,000020,000000000000010131,15,3843375,JPY,EA
100,4500000050,000030,000000000000010012,10,4719580,JPY,EA
100,4500000050,000040,000000000000010050,11,2974708,JPY,EA
100,4500000050,000050,000000000000010022,4,355052,JPY,EA
100,4500000051,000010,000000000000010137,1,329693,MXN,EA
100,4500000051,000020,000000000000010017,7,2467136,MXN,EA
100,4500000051,000030,000000000000010055,14,6147806,MXN,EA
100,4500000051,000040,000000000000010027,7,1980566,MXN,EA
100,4500000051,000050,000000000000010112,3,1177755,MXN,EA
100,4500000052,000010,000000000000010040,1,241766,MXN,EA
100,4500000052,000020,000000000000010085,2,93772,MXN,EA
100,4500000052,000030,000000000000010019,2,188638,MXN,EA
100,4500000052,000040,000000000000010065,18,682758,MXN,EA
100,4500000052,000050,000000000000010148,8,3828952,MXN,EA
100,4500000052,000060,000000000000010067,14,2862160,MXN,EA
100,4500000053,000010,000000000000010104,14,2336404,MXN,EA
100,4500000053,000020,000000000000010005,13,4602026,MXN,EA
100,4500000053,000030,000000000000010031,18,73656,MXN,EA
100,4500000053,000040,000000000000010017,19,472397,MXN,EA
100,4500000054,000010,000000000000010019,12,5850768,USD,EA
100,4500000054,000020,000000000000010129,4,611828,USD,EA
100,4500000054,000030,000000000000010078,20,927060,USD,EA
100,4500000054,000040,000000000000010073,15,3014550,USD,EA
100,4500000054,000050,000000000000010102,1,249506,USD,EA
100,4500000054,000060,000000000000010041,18,2092896,USD,EA
100,4500000055,000010,000000000000010101,18,2801754,USD,EA
100,4500000055,000020,000000000000010037,10,3560940,USD,EA
100,4500000056,000010,000000000000010096,1,291206,MXN,EA
100,4500000056,000020,000000000000010143,5,328050,MXN,EA
100,4500000056,000030,000000000000010011,1,301269,MXN,EA
100,4500000056,000040,000000000000010101,18,5185098,MXN,EA
100,4500000056,000050,000000000000010022,10,1111280,MXN,EA
100,4500000056,000060,000000000000010089,7,1521443,MXN,EA
100,4500000057,000010,000000000000010132,5,426930,USD,EA
100,4500000057,000020,000000000000010048,8,2595400,USD,EA
100,4500000057,000030,000000000000010065,7,427665,USD,EA
100,4500000057,000040,000000000000010047,19,8508675,USD,EA
100,4500000057,000050,000000000000010014,18,4371030,USD,EA
100,4500000057,000060,000000000000010141,3,460155,USD,EA
100,4500000058,000010,000000000000010018,9,472374,MXN,EA
100,4500000058,000020,000000000000010051,19,4872132,MXN,EA
100,4500000058,000030,000000000000010085,12,818652,MXN,EA
100,4500000058,000040,000000000000010061,4,601972,MXN,EA
100,4500000058,000050,000000000000010018,7,1173277,MXN,EA
100,4500000058,000060,000000000000010125,15,2597205,MXN,EA
100,4500000059,000010,000000000000010079,19,1537062,JPY,EA
100,4500000059,000020,000000000000010145,19,3649881,JPY,EA
100,4500000059,000030,000000000000010081,14,1251810,JPY,EA
100,4500000059,000040,000000000000010002,11,1430726,JPY,EA
100,4500000059,000050,000000000000010057,14,2044826,JPY,EA
100,4500000060,000010,000000000000010035,11,5073915,MXN,EA
100,4500000060,000020,000000000000010123,15,3517425,MXN,EA
100,4500000060,000030,000000000000010092,10,2563130,MXN,EA
100,4500000061,000010,000000000000010028,6,2036724,USD,EA
100,4500000061,000020,000000000000010021,9,4060917,USD,EA
100,4500000061,000030,000000000000010036,18,1871748,USD,EA
100,4500000061,000040,000000000000010068,3,1147140,USD,EA
100,4500000061,000050,000000000000010020,1,446428,USD,EA
100,4500000062,000010,000000000000010008,19,5785690,MXN,EA
100,4500000062,000020,000000000000010104,19,2138393,MXN,EA
100,4500000062,000030,000000000000010010,18,2477484,MXN,EA
100,4500000062,000040,000000000000010140,18,4473324,MXN,EA
100,4500000062,000050,000000000000010039,12,2481384,MXN,EA
100,4500000063,000010,000000000000010075,5,1223185,MXN,EA
100,4500000063,000020,000000000000010129,17,824092,MXN,EA
100,4500000064,000010,000000000000010094,17,111401,USD,EA
100,4500000064,000020,000000000000010062,20,7193940,USD,EA
100,4500000064,000030,000000000000010043,17,1268098,USD,EA
100,4500000064,000040,000000000000010115,6,569538,USD,EA
100,4500000065,000010,000000000000010145,5,1934165,CLP,EA
100,4500000065,000020,000000000000010124,12,266292,CLP,EA
100,4500000065,000030,000000000000010057,16,1960048,CLP,EA
100,4500000065,000040,000000000000010017,9,1752210,CLP,EA
100,4500000065,000050,000000000000010060,2,703062,CLP,EA
100,4500000066,000010,000000000000010133,12,2453664,USD,EA
100,4500000066,000020,000000000000010121,15,6947805,USD,EA
100,4500000067,000010,000000000000010011,11,606309,MXN,EA
100,4500000068,000010,000000000000010134,9,3948417,MXN,EA
100,4500000068,000020,000000000000010068,19,5441524,MXN,EA
100,4500000068,000030,000000000000010146,6,1190868,MXN,EA
100,4500000068,000040,000000000000010097,12,3709344,MXN,EA
100,4500000068,000050,000000000000010020,17,2259351,MXN,EA
100,4500000068,000060,000000000000010097,8,2173816,MXN,EA
100,4500000069,000010,000000000000010091,12,3075060,MXN,EA
100,4500000069,000020,000000000000010124,20,89180,MXN,EA
100,4500000069,000030,000000000000010129,5,1158165,MXN,EA
100,4500000069,000040,000000000000010043,8,331328,MXN,EA
100,4500000070,000010,000000000000010072,7,558383,MXN,EA
100,4500000070,000020,000000000000010048,6,1145454,MXN,EA
100,4500000070,000030,000000000000010031,8,1747008,MXN,EA
100,4500000070,000040,000000000000010085,4,1013812,MXN,EA
100,4500000070,000050,000000000000010123,16,1783504,MXN,EA
100,4500000071,000010,000000000000010042,14,178752,MXN,EA
100,4500000071,000020,000000000000010063,2,136096,MXN,EA
100,4500000071,000030,000000000000010147,19,1624082,MXN,EA
100,4500000071,000040,000000000000010035,17,366299,MXN,EA
100,4500000071,000050,000000000000010147,5,151565,MXN,EA
100,4500000072,000010,000000000000010067,6,1631208,MXN,EA
100,4500000072,000020,000000000000010104,20,5929820,MXN,EA
100,4500000073,000010,000000000000010005,10,4976330,MXN,EA
100,4500000073,000020,000000000000010022,7,1655577,MXN,EA
100,4500000073,000030,000000000000010121,16,1446816,MXN,EA
100,4500000073,000040,000000000000010057,14,4424168,MXN,EA
100,4500000073,000050,000000000000010037,19,8191907,MXN,EA
100,4500000073,000060,000000000008880283,20,6936900,MXN,EA
100,4500000074,000010,000000000000010068,6,2284092,MXN,EA
100,4500000074,000020,000000000000010088,15,4706325,MXN,EA
100,4500000074,000030,000000000000010018,8,1594328,MXN,EA
100,4500000074,000040,000000000000010099,5,289610,MXN,EA
100,4500000074,000050,000000000000010005,7,1925357,MXN,EA
100,4500000075,000010,000000000000010108,5,1592310,MXN,EA
100,4500000075,000020,000000000000010025,6,1502952,MXN,EA
100,4500000075,000030,000000000000010010,18,4768002,MXN,EA
100,4500000075,000040,000000000000010031,3,761499,MXN,EA
100,4500000075,000050,000000000000010034,20,5674820,MXN,EA
100,4500000076,000010,000000000000010111,17,3766503,MXN,EA
100,4500000077,000010,000000000000010012,17,3840232,MXN,EA
100,4500000077,000020,000000000000010059,16,6639264,MXN,EA
100,4500000077,000030,000000000000010098,12,3717960,MXN,EA
100,4500000078,000010,000000000000010148,4,896312,MXN,EA
100,4500000078,000020,000000000000010035,9,2260431,MXN,EA
100,4500000078,000030,000000000000010060,3,448539,MXN,EA
100,4500000078,000040,000000000000010140,14,1906296,MXN,EA
100,4500000078,000050,000000000000010049,1,372798,MXN,EA
100,4500000078,000060,000000000000010002,19,5224259,MXN,EA
100,4500000079,000010,000000000000010134,1,197623,USD,EA
100,4500000080,000010,000000000000010053,11,2368872,MXN,EA
100,4500000080,000020,000000000000010093,4,328592,MXN,EA
100,4500000080,000030,000000000000010110,19,2545544,MXN,EA
100,4500000080,000040,000000000000010067,18,4015224,MXN,EA
100,4500000080,000050,000000000000010145,12,3861612,MXN,EA
100,4500000080,000060,000000000000010071,13,5158686,MXN,EA
100,4500000081,000010,000000000000010106,18,7414740,MXN,EA
100,4500000081,000020,000000000000010143,16,1515200,MXN,EA
100,4500000082,000010,000000000000010144,18,4583322,EUR,EA
100,4500000082,000020,000000000000010065,10,3038550,EUR,EA
100,4500000082,000030,000000000000010089,13,5027893,EUR,EA
100,4500000083,000010,000000000000010031,8,1881152,MXN,EA
100,4500000083,000020,000000000000010042,4,453748,MXN,EA
100,4500000084,000010,000000000000010103,11,4629658,CLP,EA
100,4500000084,000020,000000000000010141,20,7329160,CLP,EA
100,4500000084,000030,000000000000010014,6,1230012,CLP,EA
100,4500000084,000040,000000000000010002,3,1297866,CLP,EA
100,4500000084,000050,000000000000010038,16,7782688,CLP,EA
100,4500000085,000010,000000000000010112,3,103788,USD,EA
100,4500000085,000020,000000000000010068,8,1563392,USD,EA
100,4500000085,000030,000000000000010021,20,415880,USD,EA
100,4500000085,000040,000000000000010099,13,4197622,USD,EA
100,4500000085,000050,000000000000010134,10,3740860,USD,EA
100,4500000086,000010,000000000000010015,6,2020182,USD,EA
100,4500000086,000020,000000000000010127,15,99225,USD,EA
100,4500000086,000030,000000000000010052,17,2566133,USD,EA
100,4500000086,000040,000000000000010050,2,824040,USD,EA
100,4500000086,000050,000000000000010131,17,6242196,USD,EA
100,4500000087,000010,000000000000010044,2,379214,MXN,EA
100,4500000087,000020,000000000000010062,1,83546,MXN,EA
100,4500000088,000010,000000000000010071,13,2419820,USD,EA
100,4500000089,000010,000000000000010102,13,4007562,EUR,EA
100,4500000089,000020,000000000000010052,17,153952,EUR,EA
100,4500000089,000030,000000000000010018,3,867432,EUR,EA
100,4500000089,000040,000000000000010073,18,8653104,EUR,EA
100,4500000089,000050,000000000000010150,12,2198124,EUR,EA
100,4500000089,000060,000000000000010071,8,2551272,EUR,EA
100,4500000090,000010,000000000000010117,13,3931408,MXN,EA
100,4500000090,000020,000000000000010002,9,834912,MXN,EA
100,4500000091,000010,000000000000010130,4,1175532,MXN,EA
100,4500000091,000020,000000000000010019,17,2639624,MXN,EA
100,4500000091,000030,000000000000010088,4,1687888,MXN,EA
100,4500000091,000040,000000000000010132,9,4143015,MXN,EA
100,4500000092,000010,000000000000010148,9,3284604,MXN,EA
100,4500000092,000020,000000000000010114,13,3851406,MXN,EA
100,4500000092,000030,000000000000010124,8,3185072,MXN,EA
100,4500000092,000040,000000000000010087,15,5375265,MXN,EA
100,4500000092,000050,000000000000010118,19,8606012,MXN,EA
100,4500000093,000010,000000000000010124,4,544684,MXN,EA
100,4500000094,000010,000000000000010098,8,2847176,MXN,EA
100,4500000095,000010,000000000000010059,11,2389519,JPY,EA
100,4500000095,000020,000000000000010091,17,4791195,JPY,EA
100,4500000095,000030,000000000000010003,9,1180422,JPY,EA
100,4500000095,000040,000000000000010074,3,630462,JPY,EA
100,4500000095,000050,000000000000010088,3,875232,JPY,EA
100,4500000095,000060,000000000000010046,16,2648944,JPY,EA
100,4500000096,000010,000000000000010056,19,2699387,MXN,EA
100,4500000096,000020,000000000000010047,7,1838333,MXN,EA
100,4500000096,000030,000000000000010052,8,3092608,MXN,EA
100,4500000097,000010,000000000000010068,7,848190,CLP,EA
100,4500000097,000020,000000000000010052,8,3515840,CLP,EA
100,4500000098,000010,000000000000010092,5,2046940,USD,EA
100,4500000098,000020,000000000000010028,4,1933772,USD,EA
100,4500000098,000030,000000000000010021,16,5165152,USD,EA
100,4500000098,000040,000000000000010002,18,416844,USD,EA
100,4500000098,000050,000000000000010124,12,3916896,USD,EA
100,4500000099,000010,000000000000010127,19,8673215,MXN,EA
100,4500000099,000020,000000000000010071,16,1550032,MXN,EA
100,4500000099,000030,000000000000010131,9,1886427,MXN,EA
100,4500000100,000010,000000000000010148,5,146945,MXN,EA
100,4500000100,000020,000000000000010135,14,3524878,MXN,EA
100,4500000101,000010,000000000000010009,17,3112343,MXN,EA
100,4500000101,000020,000000000000010101,6,1444212,MXN,EA
100,4500000101,000030,000000000000010031,17,4117553,MXN,EA
100,4500000101,000040,000000000000010081,1,7197,MXN,EA
100,4500000101,000050,000000000000010054,13,3972995,MXN,EA
100,4500000102,000010,000000000000010084,12,3867264,MXN,EA
100,4500000103,000010,000000000000010048,18,2498544,USD,EA
100,4500000103,000020,000000000000010061,9,2233080,USD,EA
100,4500000103,000030,000000000000010088,12,1169076,USD,EA
100,4500000104,000010,000000000000010109,7,1545075,MXN,EA
100,4500000104,000020,000000000000010096,12,5386944,MXN,EA
100,4500000104,000030,000000000000010103,9,2135799,MXN,EA
100,4500000104,000040,000000000000010047,19,1325326,MXN,EA
100,4500000105,000010,000000000000010059,4,1515656,JPY,EA
100,4500000105,000020,000000000000010070,8,2337264,JPY,EA
100,4500000105,000030,000000000000010111,13,1349309,JPY,EA
100,4500000105,000040,000000000000010038,5,1244905,JPY,EA
100,4500000105,000050,000000000000010003,6,1331988,JPY,EA
100,4500000106,000010,000000000000010035,17,4776320,CLP,EA
100,4500000106,000020,000000000000010081,16,2532864,CLP,EA
100,4500000106,000030,000000000000010065,18,8119836,CLP,EA
100,4500000106,000040,000000000000010146,2,419754,CLP,EA
100,4500000107,000010,000000000000010042,2,227932,USD,EA
100,4500000108,000010,000000000000010122,4,947412,MXN,EA
100,4500000108,000020,000000000000010086,9,1712232,MXN,EA
100,4500000108,000030,000000000000010093,18,5279148,MXN,EA
100,4500000109,000010,000000000000010089,1,216881,MXN,EA
100,4500000109,000020,000000000000010032,12,5469000,MXN,EA
100,4500000109,000030,000000000000010051,19,5755746,MXN,EA
100,4500000110,000010,000000000000010138,6,2460636,MXN,EA
100,4500000110,000020,000000000000010073,12,2057280,MXN,EA
100,4500000110,000030,000000000000010131,16,6515024,MXN,EA
100,4500000110,000040,000000000000010115,3,602370,MXN,EA
100,4500000110,000050,000000000000010074,15,4982985,MXN,EA
100,4500000110,000060,000000000000010038,6,2021088,MXN,EA
100,4500000111,000010,000000000000010108,20,6014040,USD,EA
100,4500000111,000020,000000000000010104,3,127431,USD,EA
100,4500000111,000030,000000000000010042,11,,USD,EA
100,4500000112,000010,000000000000010082,10,3734710,MXN,EA
100,4500000112,000020,000000000000010069,20,6779580,MXN,EA
100,4500000112,000030,000000000000010102,9,4197654,MXN,EA
100,4500000113,000010,000000000000010093,19,5208280,USD,EA
100,4500000113,000020,000000000000010116,14,1242108,USD,EA
100,4500000113,000030,000000000000010048,1,66556,USD,EA
100,4500000113,000040,000000000000010061,9,4446540,USD,EA
100,4500000114,000010,000000000000010021,7,619563,USD,EA
100,4500000114,000020,000000000000010102,4,204388,USD,EA
100,4500000114,000030,000000000000010017,16,4616592,USD,EA
100,4500000114,000040,000000000000010014,1,405191,USD,EA
100,4500000114,000050,000000000000010102,17,6835326,USD,EA
100,4500000114,000060,000000000000010022,4,554400,USD,EA
100,4500000115,000010,000000000000010040,3,1032960,MXN,EA
100,4500000115,000020,000000000000010100,10,1212480,MXN,EA
100,4500000115,000030,000000000000010064,10,2333430,MXN,EA
100,4500000115,000040,000000000000010033,5,1385820,MXN,EA
100,4500000115,000050,000000000000010044,1,19431,MXN,EA
100,4500000116,000010,000000000000010092,11,4995221,MXN,EA
100,4500000116,000020,000000000000010122,15,6864015,MXN,EA
100,4500000116,000030,000000000000010139,9,2597355,MXN,EA
100,4500000116,000040,000000000000010114,5,2491395,MXN,EA
100,4500000116,000050,000000000000010139,6,1864590,MXN,EA
100,4500000116,000060,000000000000010117,19,4352007,MXN,EA
100,4500000117,000010,000000000000010137,10,4775370,MXN,EA
100,4500000117,000020,000000000000010089,16,4543056,MXN,EA
100,4500000117,000030,000000000000010059,3,697986,MXN,EA
100,4500000117,000040,000000000000010079,12,2605356,MXN,EA
100,4500000117,000050,000000000000010067,5,800795,MXN,EA
100,4500000118,000010,000000000000010001,17,7284381,MXN,EA
100,4500000119,000010,000000000000010089,10,2469940,MXN,EA
100,4500000119,000020,000000000000010137,1,361589,MXN,EA
100,4500000120,000010,000000000000010123,10,57880,MXN,EA
100,4500000120,000020,000000000000010111,10,3140010,MXN,EA
100,4500000120,000030,000000000000010060,1,288421,MXN,EA
100,4500000120,000040,000000000000010096,7,1518076,MXN,EA
100,4500000121,000010,000000000000010112,13,1716221,MXN,EA
100,4500000121,000020,000000000000010042,13,5659342,MXN,EA
100,4500000121,000030,000000000000010097,8,1111016,MXN,EA
100,4500000121,000040,000000000000010021,14,4603886,MXN,EA
100,4500000121,000050,000000000000010062,17,6831246,MXN,EA
100,4500000122,000010,000000000000010070,10,3409780,USD,EA
100,4500000122,000020,000000000000010137,9,1957320,USD,EA
100,4500000122,000030,000000000000010049,3,289899,USD,EA
100,4500000122,000040,000000000000010035,10,588580,USD,EA
100,4500000122,000050,000000000000010117,20,4767600,USD,EA
100,4500000123,000010,000000000000010126,7,1183763,USD,EA
100,4500000123,000020,000000000000010005,5,135105,USD,EA
100,4500000123,000030,000000000000010137,1,98484,USD,EA
100,4500000124,000010,000000000000010073,9,599004,USD,EA
100,4500000125,000010,000000000000010113,1,123059,MXN,EA
100,4500000125,000020,000000000000010024,5,43600,MXN,EA
100,4500000125,000030,000000000000010127,7,1261820,MXN,EA
100,4500000125,000040,000000000000010108,10,4129460,MXN,EA
100,4500000125,000050,000000000000010128,12,2929248,MXN,EA
100,4500000125,000060,000000000000010009,11,473660,MXN,EA
100,4500000126,000010,000000000000010015,9,3668985,MXN,EA
