MANDT,MATNR,SPRAS,MAKTX
100,000000000000010105,S,Cable Pack 12
100,000000000000010105,E,Cable Pack 12 (EN)
100,000000000000010106,S,Refresco Industrial
100,000000000000010106,E,Refresco Industrial (EN)
100,000000000000010107,S,Foco Industrial
100,000000000000010108,S,Refresco Basico
100,000000000000010108,E,Refresco Basico (EN)
100,000000000000010109,S,Jabon Pack 12
100,000000000000010109,E,Jabon Pack 12 (EN)
100,000000000000010110,S,Cuaderno Basico
100,000000000000010110,E,Cuaderno Basico (EN)
100,000000000000010111,S,Jabon Mini
100,000000000000010111,E,Jabon Mini (EN)
100,000000000000010112,S,Jabon Familiar
100,000000000000010112,E,Jabon Familiar (EN)
100,000000000000010113,S,Jabon Familiar
100,000000000000010114,S,Foco 2kg
100,000000000000010114,E,Foco 2kg (EN)
100,000000000000010115,S,Jabon 2kg
100,000000000000010115,E,Jabon 2kg (EN)
100,000000000000010116,S,Aceite Mini
100,000000000000010116,E,Aceite Mini (EN)
100,000000000000010117,S,Aceite Premium
100,000000000000010117,E,Aceite Premium (EN)
100,000000000000010118,S,Cafe 2kg
100,000000000000010118,E,Cafe 2kg (EN)
100,000000000000010119,S,Detergente Basico
100,000000000000010119,E,Detergente Basico (EN)
100,000000000000010120,S,Aceite 1L
100,000000000000010120,E,Aceite 1L (EN)
100,000000000000010121,S,Agua 2kg
100,000000000000010121,E,Agua 2kg (EN)
100,000000000000010122,S,Cafe Industrial
100,000000000000010123,S,Jabon Mini
100,000000000000010123,E,Jabon Mini (EN)
100,000000000000010124,S,Galleta Basico
100,000000000000010124,E,Galleta Basico (EN)
100,000000000000010125,S,Cafe Familiar
100,000000000000010125,E,Cafe Familiar (EN)
100,000000000000010126,S,Aceite Familiar
100,000000000000010126,E,Aceite Familiar (EN)
100,000000000000010127,S,Refresco Basico
100,000000000000010127,E,Refresco Basico (EN)
100,000000000000010128,S,Detergente Familiar
100,000000000000010128,E,Detergente Familiar (EN)
100,000000000000010129,S,Cable Mini
100,000000000000010129,E,Cable Mini (EN)
100,000000000000010130,S,Cafe Familiar
100,000000000000010130,E,Cafe Familiar (EN)
100,000000000000010131,S,Aceite Pack 12
100,000000000000010132,S,Detergente Premium
100,000000000000010133,S,Foco 2kg
100,000000000000010133,E,Foco 2kg (EN)
100,000000000000010134,S,Cafe Familiar
100,000000000000010135,S,Agua Basico
100,000000000000010135,E,Agua Basico (EN)
100,000000000000010136,S,Jabon Familiar
100,000000000000010136,E,Jabon Familiar (EN)
100,000000000000010137,S,Agua Basico
100,000000000000010138,S,Aceite Pack 12
100,000000000000010138,E,Aceite Pack 12 (EN)
100,000000000000010139,S,Aceite 1L
100,000000000000010140,S,Cuaderno 2kg
100,000000000000010140,E,Cuaderno 2kg (EN)
100,000000000000010141,S,Refresco 1L
100,000000000000010141,E,Refresco 1L (EN)
100,000000000000010142,S,Foco Mini
100,000000000000010142,E,Foco Mini (EN)
100,000000000000010143,S,Refresco Pack 12
100,000000000000010143,E,Refresco Pack 12 (EN)
100,000000000000010144,S,Agua XL
100,000000000000010144,E,Agua XL (EN)
100,000000000000010145,S,Refresco XL
100,000000000000010145,E,Refresco XL (EN)
100,000000000000010146,S,Aceite 1L
100,000000000000010147,S,Cafe Basico
100,000000000000010147,E,Cafe Basico (EN)
100,000000000000010148,S,Detergente 1L
100,000000000000010149,S,Cable Basico
100,000000000000010150,S,Galleta Familiar
100,000000000000010150,E,Galleta Familiar (EN)
