MANDT,KUNNR,NAME1,LAND1,ORT01,PSTLZ,KTOKD,LOEKZ,ERDAT
100,0000010125,Abarrotes del Golfo 125,MX,Ciudad de Mexico,01000,0001,,20230714
100,0000010126,Comercial Peninsular 126,MX,Guadalajara,44100,0001,,20230102
100,0000010127,Mayoreo Latina 127,CL,Santiago,8320000,0001,,20240108
100,0000010128,Distribuidora del Bajio 128,US,Houston,77001,0001,,20240930
100,0000010129,Distribuidora Continental 129,MX,Guadalajara,44100,0001,,20240603
100,0000010130,Abarrotes del Bajio 130,MX,Guadalajara,44100,0001,,00000000
100,0000010131,Servicios Central 131,ES,Madrid,28001,0001,,20230511
100,0000010132,Abarrotes Peninsular 132,MX,Monterrey,64000,0001,,20241124
100,0000010133,Grupo del Golfo 133,ES,Madrid,28001,0001,,20240805
100,0000010134,Abarrotes Central 134,MX,Guadalajara,44100,0001,,20250503
100,0000010135,Servicios Continental 135,MX,Ciudad de Mexico,01000,0001,,20230804
100,0000010136,Cadena del Golfo 136,US,Houston,77001,0001,,20241101
100,0000010137,Importadora Regio 137,MX,Guadalajara,44100,0001,,20240328
100,0000010138,Industrias Central 138,ES,Madrid,28001,0001,,20240429
100,0000010139,Grupo Azteca 139,ES,Madrid,28001,0001,,20231018
100,0000010140,Cadena del Bajio 140,CL,Santiago,8320000,0001,X,20230406
100,0000010141,Servicios Latina 141,MX,Monterrey,64000,0001,,20250405
100,0000010142,Grupo del Norte 142,MX,Monterrey,64000,0001,,20230217
100,0000010143,Importadora del Golfo 143,MX,Monterrey,64000,0001,,20250520
100,0000010144,Importadora Peninsular 144,MX,Ciudad de Mexico,01000,0001,,20241006
100,0000010145,Industrias Peninsular 145,CL,Santiago,8320000,0001,,20240521
100,0000010146,Industrias Pacifico 146,US,Houston,77001,0001,,20241102
100,0000010147,Comercial Azteca 147,ES,Madrid,28001,0001,,20250308
100,0000010148,Industrias Pacifico 148,US,Houston,77001,0001,,20250403
100,0000010149,Mayoreo Regio 149,ES,Madrid,28001,0001,,20230221
100,0000010150,Industrias Azteca 150,CL,Santiago,8320000,0001,,20240412
100,0000010151,Importadora Central 151,MX,Monterrey,64000,0001,,20240726
100,0000010152,Corporativo Regio 152,CL,Santiago,8320000,0001,X,20240919
100,0000010153,Mayoreo Peninsular 153,ES,Madrid,28001,0001,,20250430
100,0000010154,Importadora Pacifico 154,CL,Santiago,8320000,0001,,20250131
100,0000010155,Importadora Continental 155,US,Houston,77001,0001,,20250208
100,0000010156,Servicios Central 156,MX,Monterrey,64000,0001,,20240511
100,0000010157,Industrias Continental 157,ES,Madrid,28001,0001,,20240326
100,0000010158,Servicios Latina 158,MX,Ciudad de Mexico,01000,0001,,20231006
100,0000010159,Corporativo Central 159,MX,Guadalajara,44100,0001,,20230324
100,0000010160,Grupo Latina 160,MX,Monterrey,64000,0001,,20240128
100,0000010161,Grupo Latina 161,ES,Madrid,28001,0001,,20230307
100,0000010162,Abarrotes del Bajio 162,US,Houston,77001,0001,,20240709
100,0000010163,Abarrotes del Norte 163,US,Houston,77001,0001,,20230731
100,0000010164,Abarrotes del Golfo 164,US,Houston,77001,0001,X,20241213
100,0000010165,Cadena Peninsular 165,MX,Ciudad de Mexico,01000,0001,,20240503
100,0000010166,Corporativo Continental 166,MX,Ciudad de Mexico,01000,0001,,20250210
100,0000010167,Abarrotes Central 167,US,Houston,77001,0001,,20250204
100,0000010168,Mayoreo del Golfo 168,ES,Madrid,28001,0001,,20230814
100,0000010169,Industrias Continental 169,US,Houston,77001,0001,,20240322
100,0000010170,Comercial Peninsular 170,US,Houston,77001,0001,,20231211
100,0000010171,Abarrotes Pacifico 171,ES,Madrid,28001,0001,,20250510
100,0000010172,Grupo del Golfo 172,US,Houston,77001,0001,,20240630
100,0000010173,Abarrotes del Golfo 173,MX,Ciudad de Mexico,01000,0001,,20240731
100,0000010174,Comercial Azteca 174,ES,Madrid,28001,0001,X,20241020
100,0000010175,Grupo Regio 175,US,Houston,77001,0001,,20230706
100,0000010176,Servicios Peninsular 176,MX,Ciudad de Mexico,01000,0001,,20231202
100,0000010177,Importadora del Bajio 177,MX,Monterrey,64000,0001,,20231212
100,0000010178,Servicios Peninsular 178,US,Houston,77001,0001,,20230916
100,0000010179,Importadora del Norte 179,MX,Ciudad de Mexico,01000,0001,,20250206
100,0000010180,Comercial del Bajio 180,CL,Santiago,8320000,0001,,20230818
100,0000010181,Distribuidora del Norte 181,ES,Madrid,28001,0001,,20250211
100,0000010182,Industrias Latina 182,MX,Ciudad de Mexico,01000,0001,,20250509
100,0000010183,Cadena Pacifico 183,MX,Ciudad de Mexico,01000,0001,,20230902
100,0000010184,Importadora Azteca 184,MX,Monterrey,64000,0001,,20240731
100,0000010185,Importadora Continental 185,MX,Monterrey,64000,0001,,20250224
100,0000010186,Grupo del Golfo 186,MX,Guadalajara,44100,0001,,20240913
100,0000010187,Distribuidora Pacifico 187,ES,Madrid,28001,0001,,20231115
100,0000010188,Cadena del Norte 188,MX,Ciudad de Mexico,01000,0001,,20231116
100,0000010189,Abarrotes Peninsular 189,CL,Santiago,8320000,0001,X,20250102
100,0000010190,Distribuidora del Golfo 190,MX,Monterrey,64000,0001,X,20241208
100,0000010191,Industrias Azteca 191,ES,Madrid,28001,0001,,20241214
100,0000010192,Cadena Azteca 192,MX,Guadalajara,44100,0001,,20250326
100,0000010193,Comercial del Bajio 193,CL,Santiago,8320000,0001,,20240629
100,0000010194,Corporativo Azteca 194,US,Houston,77001,0001,,20240602
100,0000010195,Corporativo del Norte 195,ES,Madrid,28001,0001,,20250519
100,0000010196,Importadora Azteca 196,US,Houston,77001,0001,,20240319
100,0000010197,Importadora Pacifico 197,MX,Guadalajara,44100,0001,,20240321
100,0000010198,Mayoreo Continental 198,MX,Monterrey,64000,0001,,20240922
100,0000010199,Importadora Regio 199,CL,Santiago,8320000,0001,,20240322
100,0000010200,Cadena Continental 200,ES,Madrid,28001,0001,,20231127
