MANDT,DARLEHEN,PARTNER,PRINCIPAL,WAERS,RATE,START_DATE,TERM_MONTHS
100,000080000074,0001000142,294549877,MXN,22.38,20240810,60
100,000080000075,0001000144,319341985,MXN,9.01,20220411,60
100,000080000076,0001000145,215527415,USD,21.6,20200323,12
100,000080000077,0001000146,358435384,MXN,20.41,20220415,60
100,000080000078,0001000148,58732827,USD,12.89,20230620,12
100,000080000079,0001000149,163055671,USD,14.76,20210831,36
100,000080000080,0001000152,228611372,USD,22.97,20210328,60
100,000080000081,0001000153,122342164,MXN,10.7,20211207,36
100,000080000082,0001000154,233506236,MXN,17.48,20230223,12
100,000080000083,0001000155,474827252,MXN,15.75,20230523,12
100,000080000084,0001000156,100976248,MXN,17.25,20230504,48
100,000080000085,0001000160,167360387,MXN,23.39,20200325,24
100,000080000086,0001000161,472018945,MXN,9.03,20231218,48
100,000080000087,0001000163,244320670,MXN,13.35,20220302,48
100,000080000088,0001000166,94378532,MXN,19.06,20220312,24
100,000080000089,0001000169,462340169,USD,23.61,20210802,12
100,000080000090,0001000170,452270657,MXN,16.57,20211129,24
100,000080000091,0001000174,422148726,MXN,18.18,20201226,48
100,000080000092,0001000175,74565985,USD,18.78,20240407,12
100,000080000093,0001000176,414679982,MXN,9.17,20230805,60
100,000080000094,0001000178,10682787,USD,19.95,20200707,36
100,000080000095,0001000181,219268613,MXN,13.29,20230524,12
100,000080000096,0001000183,214386015,USD,23.43,20220102,24
100,000080000097,0001000184,273250725,USD,19.16,20200811,12
100,000080000098,0001000186,24376381,MXN,8.97,20221227,60
100,000080000099,0001000187,134256052,MXN,13.26,20200330,48
100,000080000100,0097000100,453968044,MXN,12.51,20230418,60
100,000080000101,0001000189,360472370,MXN,20.2,20230404,36
100,000080000102,0001000190,395426122,MXN,18.39,20240422,12
100,000080000103,0001000191,110814707,MXN,12.81,20210226,24
100,000080000104,0001000192,73547257,MXN,23.67,20240201,60
100,000080000105,0001000193,362586650,MXN,8.79,20221022,36
100,000080000106,0001000195,332570971,MXN,10.23,20210516,12
100,000080000107,0001000196,421737574,MXN,13.23,20200708,60
100,000080000108,0001000199,476334917,MXN,17.61,20221003,12
100,000080000109,0001000201,382334034,MXN,13.95,20221111,48
100,000080000110,0001000204,488579722,MXN,11.13,20230827,12
100,000080000111,0001000205,200945513,MXN,14.96,20230612,24
100,000080000112,0001000206,472956234,USD,23.45,20200709,24
100,000080000113,0001000207,499497805,MXN,15.77,20210705,48
100,000080000114,0001000209,324950162,MXN,11.54,20210526,36
100,000080000115,0001000210,71091215,MXN,21.92,20210511,12
100,000080000116,0001000211,483160382,MXN,21.44,20231121,12
100,000080000117,0001000213,387620076,MXN,11.46,20220917,48
100,000080000118,0001000216,330185567,MXN,11.63,20200929,36
100,000080000119,0001000218,300635059,MXN,14.59,20220730,36
100,000080000120,0001000220,3968942,MXN,16.66,20200725,24
100,000080000121,0001000221,54305698,MXN,17.99,20200425,60
100,000080000122,0001000222,182742894,MXN,21.64,20220430,48
100,000080000123,0001000224,161712008,MXN,16.32,20220707,48
100,000080000124,0001000225,273393097,MXN,15.43,20231012,60
100,000080000125,0001000226,80023473,MXN,8.84,20201228,36
100,000080000126,0001000227,105234964,MXN,12.42,20220112,24
100,000080000127,0001000229,386472338,MXN,9.37,20210711,60
100,000080000128,0001000231,3796620,MXN,9.7,20200422,36
100,000080000129,0001000235,76718064,MXN,16.38,20210605,24
100,000080000130,0001000237,110933265,USD,16.67,20210401,24
100,000080000131,0001000238,414564325,MXN,19.75,20221103,36
100,000080000132,0001000241,254678856,MXN,16.82,20230129,12
100,000080000133,0001000242,316501826,MXN,22.62,20230304,12
100,000080000134,0001000243,434812301,MXN,16.39,20210206,48
100,000080000135,0001000244,372962098,MXN,20.8,20200801,36
100,000080000136,0001000245,35914322,MXN,18.4,20240515,36
100,000080000137,0001000246,74955777,MXN,10.16,20200317,48
100,000080000138,0001000248,214602259,MXN,14.52,20231115,60
100,000080000139,0001000250,375602395,MXN,22.71,20231024,60
100,000080000140,0001000255,72407323,MXN,21.74,20211211,36
100,000080000141,0001000259,108827443,MXN,22.73,20220910,36
100,000080000142,0001000260,278952892,MXN,23.08,20200213,60
100,000080000143,0001000261,457697461,MXN,14.4,20230528,24
100,000080000144,0001000262,40335768,USD,21.33,20231010,24
100,000080000145,0001000269,338113045,MXN,11.59,20241127,24
100,000080000146,0001000270,229783218,MXN,12.67,20220509,48
100,000080000147,0001000271,458691145,USD,23.84,20210611,24
100,000080000148,0001000273,264732837,MXN,10.03,20201007,12
100,000080000149,0001000275,421911384,MXN,14.76,20230704,60
100,000080000150,0097000150,291187550,MXN,11.98,20240323,48
100,000080000151,0001000279,448270672,MXN,14.8,20200127,36
100,000080000152,0001000281,256416716,USD,14.42,20221212,48
100,000080000153,0001000282,181070255,MXN,8.08,20230627,60
100,000080000154,0001000284,417806449,MXN,8.68,20210211,60
100,000080000155,0001000285,356109544,USD,16.17,20240105,36
100,000080000156,0001000289,184001414,MXN,8.03,20221020,60
100,000080000157,0001000291,478985851,MXN,22.08,20220215,60
100,000080000158,0001000293,357887924,USD,12.84,20240118,36
100,000080000159,0001000294,72392032,USD,20.88,20240722,36
100,000080000160,0001000295,464938948,USD,17.74,20220131,36
100,000080000161,0001000298,447912949,MXN,10.11,20201024,36
100,000080000162,0001000300,83145391,USD,9.72,20220911,12
